"Timestamp","What is your age group?","Gender: ","Region:","Games/platforms you customize avatars (characters) on:","Approximate spent per month on digital cosmetics:","“Customizing my avatar’s outfit helps me present my true self.” ","“Digital fashion lets me experiment with identities I couldn’t explore in the real world.”","“I choose digital garments that reflect my heritage or culture.” ","Have you ever selected a skin or digital cosmetic because you recognized its cultural origin? ","If yes, please specify:","“I’m concerned that many digital outfits borrow cultural motifs without credit.” ","“When I buy a skin inspired by a real-world tradition, I expect designers to explain its background.” ","Describe an example of a digital garment that felt misrepresentative to you. ","“Purchasing a digital dress or cosmetic feels like buying a piece of cultural art.” ","“Platforms benefit more from my digital-fashion purchases than I do.” ","To what degree do you feel agency over how you present yourself digitally? ","“After wearing a culturally inspired skin, I researched its real-world origins.” ","“Digital fashion has made me more aware of cultural diversity.” ","How has digital fashion changed the way you think about physical clothing and culture? "
"2025/05/21 1:25:47 PM GMT","18 to 24","Female","Middle East & North Africa","valorant ","from 10$ to 50$","6","6","6","Yes","Yes, I chose a character outfit inspired by traditional Japanese clothing because I recognized the cultural style and liked it","7","7","as a valorant gamer, i  I find the character Cypher in Valorant somewhat misrepresentative. While he's identified as Moroccan, his outfit and overall design don’t visually reflect Moroccan culture..there are no clear references to traditional Moroccan clothing like the jellaba or tarbouch. It feels like the game used Morocco more as a backdrop or exotic label without meaningfully representing our culture through his appearance ","6","6","7","Yes","7","Digital fashion has made me more aware of how clothing communicates identity and culture, both online and offline. In digital spaces, I feel that iu have the agency  to experiment with styles I wouldn't wear publicly due to social expectations in Morocco....tt the same time i have  started to notice how easily cultural elements are borrowed or misused in virtual outfits. It’s made me more conscious of the value and symbolism behind traditional garments like the djellaba or caftan  and how digital fashion can either honor or distort them"
"2025/05/21 1:29:52 PM GMT","25 to 34","Male","Middle East & North Africa","Warframe","100-200 (Currency gained through trading though))","5","6","3","Yes","Vikings ;)","6","5","","5","7","5","Sometimes","6","While it may remain unexplained/a mystery to the player, sometimes you get the chance to see things from other cultures that you would never see otherwise."
"2025/05/21 3:43:03 PM GMT","18 to 24","Female","Europe","Discord, Steam, Apex Legends","0","4","5","2","No","","5","7","Assassin’s Creed Shadows","2","7","4","Sometimes","2","nothing at all"
"2025/05/21 3:46:22 PM GMT","35 to 44","Male","Europe","Steam, discord, apex, dark souls, elden ring","50$","5","6","2","Yes","bear, cowboy, ninja","5","7","Assassins creed shadows","5","5","4","Sometimes","5","didn't change"
"2025/05/21 4:47:42 PM GMT","18 to 24","Male","Europe","A lot, e.g. World of Warcraft, Rainbow Six: Siege, Valheim, Europa Universalis (kinda), Crusader Kings, The Sims","0","3","6","4","Yes","Ruler Designer in Crusader Kings - Medieval Bohemia style","2","2","Black Samurai in Assassin’s Creed: Shadows","5","5","5","Sometimes","4","I have been always curious about clothing of various cultures thought different historical eras. Therefore, digital fashion might have shown me a new cultural specifications, but it did not change the way how I think about cultural diversity."
"2025/05/21 4:53:19 PM GMT","18 to 24","Male","Middle East & North Africa","mostly single players games, that list would be too long to get through here but some of the most notable ones are:  Cyberpunk, Enlisted, Rogue trader,  BG3 etc","0 dollars","3","6","2","Yes","While playing Enlisted there was this Moroccan Berber inspired premium squad that had the whole berber atire on them, it was available as a demo for a few matches and I could not help but to try it out as soon as I saw it","3","5","While playing medieval 2 total war, I always found it funny how there is a ""Moorish"" faction that is supposed to be representative of the entirety of the Maghreb cultures as well as the Andalus. The blending in of different cultures into one cohesive faction aside, I always found it a bit misrepresentative  how Men for the Andalus for example would be wearing the same long draped desert clothing that people traditionally from the Sahara would wear.","2","7","6","Sometimes","3","I can't really say that digital Fashion has changed my outlook on physical clothing and culture that much, except maybe for the fact that it  has made me more aware that people, regardless of their background, want to explore and express themselves through new styles. The creativity and variety in digital fashion is honestly awe-inspiring at times, and it goes to show by contrast how real-world expectations can limit the expression of the same people who happen to be very colorful and expressive in the digital sphere, and this has made me more tolerant and open minded towards  styles that might be seen as controversial or deviant in more conservative societies."
"2025/05/21 5:55:38 PM GMT","35 to 44","Female","North America","xbox, mobile","$3 (usd)","2","6","2","No","","5","7","The game Covet Fashion, a mobile game that allows players to customize outfits in tailored events against other players, sells a lot of dev designed kimono. They tag the pieces in events having anything even remotely having to to do with the continent of Asia. It seems to result in a cultural reduction even in modern skewed events that take place in Japan, because instead of choosing other fashion pieces the users will just slap a kimono on unthinkingly.","3","5","7","Sometimes","4","I have a more keen appreciation for the architecture of real world fashion. You can make digital fabric do anything you want, it takes an a real artist to engineer something a physical body can wear."
"2025/05/21 6:23:21 PM GMT","25 to 34","Male","North America","Cyberpunk, tf2, skyrim, fallout","$0 now, somewhere between $5-$20 in the past ","5","7","3","No","","4","6","Overarching oni skin for Genji was designed for women","3","7","6","Sometimes","3","I already am a pretty curious person, so I would say that my interest in digital clothing is more a product of that interest than a cause"
"2025/05/21 6:29:42 PM GMT","25 to 34","Male","North America","Skyrim (modded), Warframe","0","3","7","1","No","","3","4","","1","4","6","Sometimes","5",""
"2025/05/21 6:50:24 PM GMT","18 to 24","Female","Europe","Red Dead Redemption 2, Cyberpunk, Infinoty Nikki","0","2","5","4","Yes","","2","1","None so far (Im a Slav)","3","7","4","Sometimes","4",""
